p,z
6,6
7,7
8,8
8,9
9,9
9,9
10,10
10,10
11,12
12,13
13,14
13,15
14,14
15,15
16,15
16,16
17,16
17,16
18,16
18,17
18,18
19,19
20,20
20,20
21,22
22,23
23,24
24,25
25,26
26,28
27,29
29,31
30,33
31,34
32,36
34,38
35,41
36,42
38,44
39,46
41,48
43,50
44,51
46,53
48,55
50,57
51,59
52,60
54,62
56,65
58,66
59,68
61,70
63,72
65,75
67,77
68,78
70,80
72,83
74,85
76,87
78,90
81,93
83,94
84,96
87,99
89,100
91,103
92,105
94,108
96,110
98,113
99,116
100,118
102,121
103,122
106,124
107,128
109,130
110,132
112,134
114,137
114,138
116,141
118,142
119,145
121,147
122,149
123,149
125,152
127,154
128,154
128,155
131,157
132,159
132,161
134,162
136,164
138,166
138,167
140,165
141,168
141,168
143,169
143,170
142,172
144,173
144,172
146,172
146,172
146,172
147,173
147,175
147,173
147,174
146,175
147,176
149,174
150,173
150,173
151,174
152,174
154,172
151,173
152,177
155,175
155,176
155,177
156,177
155,178
156,178
157,178
156,176
158,178
160,179
160,178
160,180
160,179
157,178
157,176
158,176
156,178
159,180
158,180
159,178
156,177
156,180
157,179
157,179
156,180
155,180
161,183
161,183
160,185
160,184
162,184
160,183
159,180
157,179
164,179
164,180
165,182
165,181
163,184
166,184
166,183
163,179
161,175
163,178
161,176
161,178
159,174
159,177
164,177
162,176
157,178
160,179
162,178
163,181
165,178
160,176
159,178
159,177
157,177
159,177
160,175
158,182
156,180
158,181
162,179
161,182
164,181
162,181
161,179
161,175
158,180
156,180
152,183
148,183
151,183
